Geneid	SRR10416713
100287102	1
653635	62
102466751	7
100302278	0
645520	0
79501	0
729737	177
102725121	1
102723897	109
102465909	0
729759	0
100132287	2
105378947	0
101928626	1
102465432	160
81399	0
100133331	110
100288069	34
400728	5
79854	22
643837	337
284593	0
100130417	3
148398	2
26155	5576
339451	201
84069	210
84808	57
57801	445
9636	987
375790	19187
105369174	55
105378948	20
401934	12
54991	508
254099	0
406984	3
406983	2
554210	5
254173	3
8784	0
7293	0
51150	4473
126792	592
388581	0
118424	1478
6339	8
116983	1204
102465434	0
126789	407
54973	2349
102465435	0
80772	890
83756	14
1855	1693
102466740	0
54587	119
54998	1593
81669	2327
148413	308
55052	1710
441869	63
643965	0
102724312	2
64856	566
219293	27
83858	1384
55210	2231
339453	5
29101	2992
643988	758
142678	1106
8510	0
984	1097
728661	585
8511	0
728642	537
9906	463
65220	1330
2782	9870
105378949	6
163688	2
339456	6
85452	0
2563	0
5590	574
100506504	16
199990	359
105378592	2
6497	3684
105378594	19
79906	101
100129534	4
11079	2667
5192	498
9651	489
55229	93
388585	0
115110	0
8764	36
100996583	0
127281	34
79258	0
100287898	1
140625	0
440556	0
63976	0
100422968	0
27237	1753
1953	602
693135	0
127262	1830
49856	431
7161	97
57212	11
148870	0
388588	0
57470	1609
9731	1033
1677	160
339448	908
100133612	5
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	317
8514	209
26038	6
6146	11793
102724450	2
388591	518
23463	5761
148645	7
390992	0
387509	2339
11332	1715
54626	127
83715	72
100422975	0
8718	264
57449	1190
79707	1794
80835	0
3104	472
9903	3014
148479	617
90326	187
55735	2400
100505887	0
23261	409
9341	3104
8863	647
10911	2
3604	30
11315	3445
54206	1671
102724539	0
50651	0
473	2046
102724552	1
2023	51872
102465436	0
100505975	0
765	0
155184	0
6518	25
80045	341
407040	1
9563	761
80176	829
100506022	5
84275	244
199953	1184
5293	66
644997	0
101929074	0
22883	20188
56998	895
84328	560
64802	372
100847055	1
105376719	0
116362	0
10277	3018
23095	2250
100422970	0
5226	4482
100526739	0
378708	29
1325	7
1676	1949
5195	698
54897	211
148345	0
23435	6093
10747	52
6723	2390
5394	2947
2475	5106
100873935	1
10218	1
29914	870
57540	0
101929181	6
26232	17
93611	134
26270	60
10459	849
374946	0
57085	629
284498	0
102724659	0
4524	219
1185	343
100379251	2
4878	2
4879	0
26829	0
90231	1792
5351	5439
9927	10856
60672	302
102466982	0
943	330
102465836	0
7133	27
100616438	0
55187	3215
677885	4
9249	2801
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	3
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
