Geneid	SRR10416712
100287102	0
653635	99
102466751	7
100302278	0
645520	0
79501	0
729737	197
102725121	1
102723897	150
102465909	0
729759	0
100132287	5
105378947	0
101928626	1
102465432	166
81399	0
100133331	100
100288069	35
400728	8
79854	34
643837	369
284593	0
100130417	3
148398	1
26155	7024
339451	224
84069	256
84808	53
57801	598
9636	1265
375790	22683
105369174	55
105378948	9
401934	13
54991	694
254099	0
406984	0
406983	4
554210	8
254173	1
8784	2
7293	0
51150	5487
126792	785
388581	8
118424	1710
6339	6
116983	1441
102465434	0
126789	586
54973	3050
102465435	0
80772	1142
83756	15
1855	2232
102466740	0
54587	103
54998	2027
81669	2752
148413	469
55052	2181
441869	56
643965	0
102724312	2
64856	754
219293	44
83858	1883
55210	2878
339453	2
29101	3607
643988	974
142678	1428
8510	0
984	1409
728661	774
8511	0
728642	555
9906	528
65220	1634
2782	11591
105378949	3
163688	1
339456	9
85452	0
2563	0
5590	687
100506504	35
199990	509
105378592	5
6497	4404
105378594	20
79906	154
100129534	3
11079	3291
5192	667
9651	341
55229	94
388585	0
115110	2
8764	76
100996583	0
127281	21
79258	0
100287898	0
140625	0
440556	0
63976	1
100422968	0
27237	2194
1953	620
693135	0
127262	2085
49856	546
7161	123
57212	23
148870	0
388588	2
57470	1953
9731	1229
1677	179
339448	1034
100133612	3
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	403
8514	241
26038	3
6146	13196
102724450	4
388591	576
23463	6571
148645	7
390992	0
387509	2821
11332	2221
54626	160
83715	71
100422975	0
8718	333
57449	1361
79707	2027
80835	0
3104	554
9903	4003
148479	625
90326	217
55735	2850
100505887	0
23261	465
9341	3468
8863	715
10911	12
3604	58
11315	4252
54206	1974
102724539	1
50651	1
473	2117
102724552	2
2023	67295
102465436	2
100505975	3
765	0
155184	0
6518	14
80045	433
407040	1
9563	899
80176	932
100506022	1
84275	351
199953	1578
5293	80
644997	0
101929074	0
22883	22126
56998	1071
84328	682
64802	384
100847055	0
105376719	0
116362	0
10277	3277
23095	2474
100422970	0
5226	5277
100526739	1
378708	20
1325	3
1676	2308
5195	762
54897	245
148345	0
23435	6997
10747	77
6723	3200
5394	3437
2475	5809
100873935	0
10218	1
29914	1161
57540	0
101929181	1
26232	24
93611	154
26270	50
10459	993
374946	0
57085	740
284498	0
102724659	0
4524	254
1185	375
100379251	3
4878	3
4879	0
26829	0
90231	2397
5351	6567
9927	12678
60672	407
102466982	0
943	454
102465836	0
7133	45
100616438	0
55187	3433
677885	2
9249	3308
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1
7799	1338
