Geneid	SRR10416716
100287102	0
653635	146
102466751	5
100302278	0
645520	0
79501	0
729737	391
102725121	9
102723897	283
102465909	0
729759	0
100132287	21
105378947	1
101928626	0
102465432	210
81399	0
100133331	100
100288069	27
400728	19
79854	20
643837	217
284593	0
100130417	3
148398	18
26155	3292
339451	379
84069	192
84808	30
57801	558
9636	791
375790	27483
105369174	142
105378948	63
401934	107
54991	648
254099	2
406984	3
406983	6
554210	28
254173	16
8784	15
7293	0
51150	4102
126792	525
388581	3
118424	1279
6339	18
116983	1323
102465434	0
126789	266
54973	2368
102465435	0
80772	849
83756	12
1855	2085
102466740	0
54587	211
54998	1234
81669	2922
148413	397
55052	1165
441869	450
643965	27
102724312	22
64856	2224
219293	22
83858	451
55210	1444
339453	0
29101	2412
643988	397
142678	1307
8510	0
984	807
728661	553
8511	0
728642	475
9906	881
65220	1733
2782	12184
105378949	7
163688	0
339456	16
85452	5
2563	1
5590	1010
100506504	69
199990	568
105378592	2
6497	2726
105378594	19
79906	164
100129534	3
11079	2368
5192	510
9651	158
55229	22
388585	0
115110	1
8764	148
100996583	0
127281	304
79258	1
100287898	6
140625	0
440556	0
63976	2
100422968	0
27237	2233
1953	612
693135	0
127262	1538
49856	513
7161	33
57212	22
148870	0
388588	16
57470	1029
9731	1105
1677	202
339448	892
100133612	6
728716	0
284661	0
55966	0
100616489	0
100616421	1
261734	390
8514	225
26038	18
6146	14272
102724450	4
388591	980
23463	4874
148645	15
390992	0
387509	4065
11332	958
54626	92
83715	514
100422975	0
8718	170
57449	718
79707	1022
80835	2
3104	630
9903	1551
148479	981
90326	260
55735	1235
100505887	0
23261	647
9341	2566
8863	494
10911	1
3604	216
11315	3012
54206	6930
102724539	1
50651	8
473	3752
102724552	3
2023	41742
102465436	0
100505975	0
765	0
155184	0
6518	1
80045	210
407040	2
9563	2277
80176	770
100506022	4
84275	160
199953	533
5293	188
644997	0
101929074	0
22883	21353
56998	1477
84328	467
64802	296
100847055	0
105376719	0
116362	2
10277	2988
23095	2584
100422970	0
5226	4117
100526739	0
378708	11
1325	2
1676	1877
5195	714
54897	635
148345	0
23435	6291
10747	49
6723	767
5394	2515
2475	3639
100873935	0
10218	0
29914	336
57540	0
101929181	5
26232	32
93611	163
26270	112
10459	915
374946	0
57085	431
284498	0
102724659	0
4524	337
1185	437
100379251	5
4878	3
4879	0
26829	0
90231	1666
5351	7849
9927	6103
60672	309
102466982	0
943	1
102465836	0
7133	70
100616438	0
55187	3363
677885	0
9249	4685
102466722	0
343066	0
126767	0
93190	1
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	1270
23254	209
200197	28
55092	856
727684	0
114827	71
101927417	5
79180	13994
11330	5
63036	0
51032	6
842	395
23341	873
79814	165
84301	364
6248	301
23207	2071
284723	9
388595	0
54751	631
440567	364
729614	63
23013	6768
7709	628
101928566	0
149563	0
27129	0
1187	0
1188	1
348487	9
1969	5652
128272	886
101927546	0
79363	141
54455	674
26099	5083
374955	1
55707	1436
114819	119
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	191
84809	315
11209	37
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	2
791226	0
9696	670
26870	0
4237	19
23400	1736
6390	2669
11240	2
29943	586
51702	5567
100616188	18
23569	0
353238	0
55920	8833
55160	335
81569	0
101927876	0
84966	0
127707	15
5081	347
80834	0
8659	363
100616120	0
100302276	0
126917	2257
23352	11730
23065	4028
51154	1202
246181	5
22977	10
100506730	71
8574	899
54896	233
832	7001
100532736	0
440574	528
644068	31
4681	1
3362	4
255104	786
54546	0
23252	531
30814	0
5320	0
5322	0
26279	0
64600	1
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	69
79594	702
163933	0
978	365
65018	335
102464833	0
100861548	173
