Geneid	SRR10416711
23633	5254
200081	5024
79140	93
56063	227
55721	190
149069	12
8668	7100
339483	32
84734	0
3932	80
3065	7257
65108	1093
100128071	3
81629	20
55108	1251
728116	0
653121	255
339487	638
5928	3316
81493	5
57648	9245
8565	5058
64766	505
252995	6
3208	1
113452	1051
127544	1514
204	7398
113451	12
55223	275
149076	452
127550	1
1912	2639
100500853	1
101929464	0
7579	144
114784	0
127540	0
402779	0
84970	0
693137	0
2709	803
127534	281
2707	2159
2701	0
113444	900
58512	1
653160	19
100506144	200
9204	386
79830	576
6421	9639
9202	1383
79932	1037
23154	795
339488	22
5690	5215
127703	149
63967	1778
192670	117
26523	807
192669	482
27285	0
54936	477
1296	153
27095	773
55700	4530
9967	6470
79729	33
55194	35
83931	2623
84967	333
127700	37
64960	1445
1441	0
2899	0
100422898	0
728431	102
80149	2715
102465438	0
64769	785
100847010	0
79753	387
7802	3
29889	1837
284654	0
54955	568
55143	1673
284656	0
149175	512
79693	305
127687	425
4520	654
3633	250
10946	4055
2275	398
51118	1286
5453	20
100500801	0
339442	0
64121	382
100527950	0
26292	0
81025	0
54933	88
79647	1781
4725	2659
23499	7202
643314	1007
105378950	0
353500	9
728448	5
8761	3875
101929516	6
677834	6
26508	4
84618	0
51440	19
10450	998
656	34
64064	1
105378951	0
101929536	3
54802	834
4610	71
84879	1040
10487	12905
5538	6247
6018	1341
127391	1
10269	2780
1298	115
64744	741
65243	50
339559	158
64789	277
127396	68
9783	4
100130557	55
4802	1278
407034	0
407031	0
9132	15
163732	227
1503	3837
100507178	40
200172	40
22955	593
100132074	3
1907	0
59269	612
2981	0
2980	0
22887	2561
284716	4
84217	3
79717	1478
728621	5
10465	1298
4904	44905
149461	0
64175	865
79078	110
100129924	8
374969	111
114625	227
51058	185
339539	0
6513	5812
440584	4
105378684	3
440585	6
10969	4704
102465439	0
149465	5
128218	35
149466	49
7075	0
4352	15
991	6976
64834	2444
102466723	0
112950	634
23334	908
102465440	0
81888	5
5792	10688
9682	1435
100132774	14
6487	206
101929592	1
102464830	0
9048	252
9670	873
1802	1675
533	1329
8704	2323
149473	184
6536	246
128209	0
105378952	0
55929	582
79033	993
100874278	9
55182	1925
100847089	0
79639	60
339541	1
26828	6
26830	1
11004	4125
6202	11536
26811	29
94161	6
94162	0
94163	6
266675	3
1263	515
343521	11
149478	135
8643	1
8891	601
79654	1249
7389	1569
57643	10
400752	4
84842	564
4595	498
114034	561
10420	35
