Geneid	SRR10416715
100287102	0
653635	160
102466751	25
100302278	0
645520	0
79501	0
729737	335
102725121	6
102723897	214
102465909	0
729759	0
100132287	8
105378947	0
101928626	0
102465432	177
81399	0
100133331	93
100288069	21
400728	8
79854	22
643837	209
284593	0
100130417	2
148398	23
26155	3500
339451	340
84069	149
84808	37
57801	590
9636	792
375790	24164
105369174	91
105378948	38
401934	105
54991	594
254099	2
406984	3
406983	4
554210	18
254173	16
8784	12
7293	0
51150	3724
126792	582
388581	3
118424	1127
6339	12
116983	1126
102465434	0
126789	295
54973	2095
102465435	0
80772	905
83756	13
1855	2021
102466740	0
54587	185
54998	1259
81669	2160
148413	357
55052	1067
441869	389
643965	17
102724312	21
64856	2229
219293	27
83858	542
55210	1493
339453	1
29101	2422
643988	439
142678	1261
8510	0
984	677
728661	567
8511	0
728642	397
9906	744
65220	1590
2782	10574
105378949	7
163688	0
339456	16
85452	1
2563	0
5590	862
100506504	44
199990	502
105378592	4
6497	2687
105378594	14
79906	160
100129534	5
11079	2191
5192	481
9651	313
55229	24
388585	0
115110	3
8764	17
100996583	0
127281	36
79258	4
100287898	3
140625	0
440556	0
63976	0
100422968	0
27237	1864
1953	427
693135	0
127262	1239
49856	476
7161	50
57212	20
148870	0
388588	18
57470	1100
9731	1074
1677	182
339448	771
100133612	1
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	322
8514	205
26038	9
6146	12133
102724450	17
388591	773
23463	4614
148645	10
390992	0
387509	3824
11332	979
54626	54
83715	405
100422975	0
8718	143
57449	621
79707	1170
80835	0
3104	498
9903	1539
148479	834
90326	202
55735	1161
100505887	0
23261	598
9341	2319
8863	429
10911	1
3604	189
11315	2656
54206	5188
102724539	2
50651	17
473	3241
102724552	2
2023	39397
102465436	0
100505975	1
765	0
155184	0
6518	0
80045	219
407040	1
9563	1782
80176	627
100506022	6
84275	224
199953	577
5293	101
644997	0
101929074	4
22883	18349
56998	1242
84328	410
64802	291
100847055	0
105376719	0
116362	2
10277	2559
23095	2393
100422970	0
5226	3797
100526739	0
378708	15
1325	5
1676	1899
5195	613
54897	610
148345	0
23435	5644
10747	43
6723	1065
5394	2254
2475	3382
100873935	0
10218	0
29914	387
57540	0
101929181	6
26232	35
93611	107
26270	100
10459	787
374946	0
