Geneid	SRR10416714
100287102	0
653635	171
102466751	11
100302278	0
645520	0
79501	0
729737	365
102725121	12
102723897	213
102465909	0
729759	0
100132287	23
105378947	3
101928626	0
102465432	243
81399	0
100133331	124
100288069	44
400728	12
79854	26
643837	257
284593	1
100130417	3
148398	14
26155	4116
339451	340
84069	179
84808	46
57801	596
9636	835
375790	25811
105369174	139
105378948	47
401934	108
54991	691
254099	2
406984	2
406983	8
554210	25
254173	18
8784	25
7293	1
51150	4196
126792	602
388581	1
118424	1319
6339	8
116983	1202
102465434	0
126789	296
54973	2460
102465435	0
80772	1026
83756	20
1855	2239
102466740	0
54587	211
54998	1375
81669	2445
148413	485
55052	1360
441869	396
643965	24
102724312	14
64856	2388
219293	33
83858	589
55210	1754
339453	1
29101	2608
643988	413
142678	1314
8510	0
984	843
728661	552
8511	0
728642	402
9906	836
65220	1723
2782	12103
105378949	9
163688	5
339456	23
85452	1
2563	2
5590	955
100506504	42
199990	599
105378592	7
6497	2946
105378594	15
79906	153
100129534	8
11079	2341
5192	586
9651	221
55229	101
388585	0
115110	1
8764	15
100996583	0
127281	29
79258	1
100287898	5
140625	0
440556	0
63976	2
100422968	0
27237	2112
1953	472
693135	0
127262	1547
49856	546
7161	45
57212	23
148870	2
388588	19
57470	1140
9731	1291
1677	244
339448	954
100133612	1
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	369
8514	249
26038	22
6146	14084
102724450	4
388591	838
23463	5410
148645	19
390992	0
387509	4208
11332	1176
54626	63
83715	474
100422975	0
8718	145
57449	667
79707	1223
80835	1
3104	514
9903	1618
148479	907
90326	251
55735	1400
100505887	0
23261	581
9341	2456
8863	537
10911	6
3604	268
11315	2977
54206	6010
102724539	1
50651	11
473	3951
102724552	1
2023	44973
102465436	0
100505975	1
765	0
155184	0
6518	1
80045	257
407040	3
9563	2004
80176	759
100506022	0
84275	246
199953	733
5293	122
644997	0
101929074	2
22883	21036
56998	1378
84328	482
64802	357
100847055	0
105376719	0
116362	1
10277	3233
23095	2886
100422970	0
5226	4452
100526739	0
378708	20
1325	1
1676	2058
5195	721
54897	712
148345	0
23435	6574
10747	45
6723	1248
5394	2475
2475	4061
100873935	0
10218	0
29914	459
57540	0
101929181	2
26232	18
93611	148
26270	112
10459	862
374946	0
57085	379
284498	0
102724659	0
4524	334
1185	431
100379251	7
4878	10
4879	0
26829	0
90231	1810
5351	7622
9927	6746
60672	296
102466982	0
943	3
102465836	0
7133	71
100616438	0
55187	3249
677885	7
9249	4485
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	1440
23254	248
200197	51
55092	869
727684	6
114827	52
101927417	12
79180	14255
11330	3
63036	0
51032	7
842	372
23341	893
79814	232
84301	419
6248	308
23207	2127
284723	24
388595	0
54751	611
440567	334
729614	63
23013	7495
7709	653
101928566	0
149563	0
27129	0
1187	2
1188	0
348487	12
1969	5752
128272	909
101927546	1
79363	118
54455	665
26099	5671
374955	1
55707	1275
114819	93
26871	0
100126512	0
100126517	0
102724970	1
100133301	0
7195	0
55672	197
84809	308
11209	26
26869	0
729574	0
100126533	0
284729	1
100189045	0
102723383	0
6060	0
11223	5
100500876	0
100189298	0
7193	0
791226	0
9696	566
26870	0
4237	14
23400	1906
6390	2799
11240	2
29943	503
51702	4966
100616188	24
23569	0
353238	0
55920	10170
55160	302
81569	0
101927876	0
84966	0
127707	24
5081	345
80834	0
8659	361
100616120	0
100302276	0
126917	2450
23352	12793
23065	4250
51154	1439
246181	4
22977	26
100506730	73
8574	966
54896	260
832	7115
100532736	0
440574	503
644068	26
4681	5
3362	2
255104	705
54546	2
23252	520
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	70
79594	778
163933	0
978	355
65018	329
102464833	0
100861548	204
1650	10280
57576	3
400745	36
50809	6304
8672	4085
100302155	0
1889	14650
100506801	8
84224	680
249	0
5909	129
84196	2332
401944	9
3339	8146
23436	0
10136	0
